Time, Open, High, Low, Close, Volume
1537128000000, 222.13, 223.2, 221.29, 221.78, 7110.26171
1537129800000, 221.74, 223.5, 221.46, 221.84, 8130.77951
1537131600000, 221.84, 222.48, 221.83, 222.01, 1722.61808
1537133400000, 222.01, 222.23, 219.32, 219.5, 7754.72305
1537135200000, 219.65, 220.18, 218.52, 218.93, 3440.2408
1537137000000, 219.05, 220.57, 218.79, 219.94, 6455.38286
1537138800000, 219.88, 221.1, 219.62, 220.59, 4281.81326
1537140600000, 220.61, 220.66, 219.0, 220.17, 1348.15194
1537142400000, 220.24, 225.0, 220.24, 224.15, 19070.51413
1537144200000, 224.14, 224.66, 223.21, 223.78, 5721.48605
1537146000000, 223.68, 223.91, 221.65, 221.68, 6423.22452
1537147800000, 221.68, 223.52, 221.57, 222.82, 4486.41158
1537149600000, 222.82, 223.51, 221.58, 221.75, 2530.13124
1537151400000, 221.75, 223.5, 221.66, 223.11, 3655.41999
1537153200000, 223.17, 223.17, 221.0, 222.92, 6096.559
1537155000000, 222.92, 223.03, 221.07, 223.02, 9029.80861
1537156800000, 222.89, 223.14, 218.01, 218.82, 17535.76565
1537158600000, 218.82, 220.72, 218.21, 218.71, 9639.4836
1537160400000, 218.69, 219.22, 216.6, 217.74, 15014.94385
1537162200000, 217.78, 220.24, 217.59, 219.56, 9669.36716
1537164000000, 219.54, 219.83, 218.14, 219.82, 8720.1608
1537165800000, 219.69, 220.08, 218.78, 218.8, 14431.14772
1537167600000, 218.8, 220.09, 216.75, 217.48, 17708.17111
1537169400000, 217.6, 218.68, 216.6, 218.27, 13155.65576
1537171200000, 218.28, 218.28, 214.8, 216.74, 18798.39719
1537173000000, 216.74, 216.87, 214.97, 216.48, 8031.02504
1537174800000, 216.47, 218.5, 213.21, 217.97, 21422.66401
1537176600000, 217.98, 220.44, 217.0, 219.97, 23848.27588
1537178400000, 220.04, 222.0, 219.53, 220.77, 16442.7196
1537180200000, 220.8, 220.98, 218.68, 219.44, 15752.86723
1537182000000, 219.38, 220.87, 219.07, 219.61, 11723.29654
1537183800000, 219.64, 220.59, 218.43, 219.14, 6669.49802
1537185600000, 219.16, 219.2, 217.02, 218.69, 12517.88039
1537187400000, 218.71, 219.07, 216.77, 217.24, 11413.45206
1537189200000, 217.24, 218.5, 216.01, 218.04, 13627.92505
1537191000000, 218.0, 218.42, 215.0, 216.72, 17247.02417
1537192800000, 216.73, 217.5, 212.37, 213.45, 35633.29847
1537194600000, 213.41, 215.54, 213.29, 213.91, 17335.94231
1537196400000, 213.93, 214.01, 205.9, 207.02, 58368.37776
1537198200000, 207.0, 207.05, 202.65, 206.31, 37150.01599
1537200000000, 206.28, 208.24, 205.75, 206.8, 24896.86175
1537201800000, 206.84, 208.71, 204.93, 205.25, 14759.979
1537203600000, 205.15, 207.14, 200.62, 204.17, 26640.48735
1537205400000, 204.22, 205.63, 201.86, 205.61, 23649.63624
1537207200000, 205.57, 207.25, 204.94, 205.59, 20458.53303
1537209000000, 205.6, 206.32, 203.0, 204.71, 16906.64913
